full_text,kelas,cleaned_text,lower_text,tokens,no_stopwords,stemmed_tokens,processed_text
@Buahterlar42596 @aprimayoga19 Jancuk'an Wong iki ... sopo seng Biadab ... Awakmu ta ... ?. 90% Ummat Muslim di Indonesia ada yg rusak mungkin 1% atau 2% lalu yg 88% Org Islam yg baik2 dan Toleran Lu katakan Biadab ... Anjing nih Org pakek nama Pesantren lagi ...,Negatif,  Jancukan Wong iki  sopo seng Biadab  Awakmu ta    Ummat Muslim di Indonesia ada yg rusak mungkin  atau  lalu yg  Org Islam yg baik dan Toleran Lu katakan Biadab  Anjing nih Org pakek nama Pesantren lagi ,  jancukan wong iki  sopo seng biadab  awakmu ta    ummat muslim di indonesia ada yg rusak mungkin  atau  lalu yg  org islam yg baik dan toleran lu katakan biadab  anjing nih org pakek nama pesantren lagi ,"['jancukan', 'wong', 'iki', 'sopo', 'seng', 'biadab', 'awakmu', 'ta', 'ummat', 'muslim', 'di', 'indonesia', 'ada', 'yg', 'rusak', 'mungkin', 'atau', 'lalu', 'yg', 'org', 'islam', 'yg', 'baik', 'dan', 'toleran', 'lu', 'katakan', 'biadab', 'anjing', 'nih', 'org', 'pakek', 'nama', 'pesantren', 'lagi']","['jancukan', 'iki', 'sopo', 'seng', 'biadab', 'awakmu', 'ta', 'ummat', 'muslim', 'indonesia', 'yg', 'rusak', 'yg', 'org', 'islam', 'yg', 'toleran', 'lu', 'biadab', 'anjing', 'nih', 'org', 'pakek', 'nama', 'pesantren']","['jancukan', 'iki', 'sopo', 'seng', 'biadab', 'awakmu', 'ta', 'ummat', 'muslim', 'indonesia', 'yg', 'rusak', 'yg', 'org', 'islam', 'yg', 'toleran', 'lu', 'biadab', 'anj', 'nih', 'org', 'pakek', 'nama', 'pesantren']",jancukan iki sopo seng biadab awakmu ta ummat muslim indonesia yg rusak yg org islam yg toleran lu biadab anj nih org pakek nama pesantren
Eng Ing Eeeeng ... Semoga para biadab yg mempermainkan CJH Reguler ini segera ditangkap dipenjara &amp; dimiskinkan. Sudah keterlaluan permainkan hidup orang permainkan uang orang didalam kementerian yg harusnya paham agama Islam itu seperti apa. Saya Peserta CJH Setuju dibongkar!,Positif,Eng Ing Eeeeng  Semoga para biadab yg mempermainkan CJH Reguler ini segera ditangkap dipenjara amp dimiskinkan Sudah keterlaluan permainkan hidup orang permainkan uang orang didalam kementerian yg harusnya paham agama Islam itu seperti apa Saya Peserta CJH Setuju dibongkar,eng ing eeeeng  semoga para biadab yg mempermainkan cjh reguler ini segera ditangkap dipenjara amp dimiskinkan sudah keterlaluan permainkan hidup orang permainkan uang orang didalam kementerian yg harusnya paham agama islam itu seperti apa saya peserta cjh setuju dibongkar,"['eng', 'ing', 'eeeeng', 'semoga', 'para', 'biadab', 'yg', 'mempermainkan', 'cjh', 'reguler', 'ini', 'segera', 'ditangkap', 'dipenjara', 'amp', 'dimiskinkan', 'sudah', 'keterlaluan', 'permainkan', 'hidup', 'orang', 'permainkan', 'uang', 'orang', 'didalam', 'kementerian', 'yg', 'harusnya', 'paham', 'agama', 'islam', 'itu', 'seperti', 'apa', 'saya', 'peserta', 'cjh', 'setuju', 'dibongkar']","['eng', 'ing', 'eeeeng', 'semoga', 'biadab', 'yg', 'mempermainkan', 'cjh', 'reguler', 'ditangkap', 'dipenjara', 'amp', 'dimiskinkan', 'permainkan', 'hidup', 'orang', 'permainkan', 'uang', 'orang', 'didalam', 'kementerian', 'yg', 'paham', 'agama', 'islam', 'peserta', 'cjh', 'setuju', 'dibongkar']","['eng', 'ing', 'eeeeng', 'semoga', 'biadab', 'yg', 'mempermainkan', 'cjh', 'regul', 'ditangkap', 'dipenjara', 'amp', 'dimiskinkan', 'permainkan', 'hidup', 'orang', 'permainkan', 'uang', 'orang', 'didalam', 'kementerian', 'yg', 'paham', 'agama', 'islam', 'peserta', 'cjh', 'setuju', 'dibongkar']",eng ing eeeeng semoga biadab yg mempermainkan cjh regul ditangkap dipenjara amp dimiskinkan permainkan hidup orang permainkan uang orang didalam kementerian yg paham agama islam peserta cjh setuju dibongkar
@suleizdn @umarfaruqi_SHI @Generasi_MudaNU ormas ini anggap umat Islam dan ormas Islam menjadi musuhnya di dunia dan akhirat dan jadikan manusia biadab xioniz sahabat dunia akhiratnya. Buktinya pengajian umat Islam dibubarkan &amp; pembantai umat islam di palestina dapat kunjungan dukungan moral dr ormas ini,Negatif,   ormas ini anggap umat Islam dan ormas Islam menjadi musuhnya di dunia dan akhirat dan jadikan manusia biadab xioniz sahabat dunia akhiratnya Buktinya pengajian umat Islam dibubarkan amp pembantai umat islam di palestina dapat kunjungan dukungan moral dr ormas ini,   ormas ini anggap umat islam dan ormas islam menjadi musuhnya di dunia dan akhirat dan jadikan manusia biadab xioniz sahabat dunia akhiratnya buktinya pengajian umat islam dibubarkan amp pembantai umat islam di palestina dapat kunjungan dukungan moral dr ormas ini,"['ormas', 'ini', 'anggap', 'umat', 'islam', 'dan', 'ormas', 'islam', 'menjadi', 'musuhnya', 'di', 'dunia', 'dan', 'akhirat', 'dan', 'jadikan', 'manusia', 'biadab', 'xioniz', 'sahabat', 'dunia', 'akhiratnya', 'buktinya', 'pengajian', 'umat', 'islam', 'dibubarkan', 'amp', 'pembantai', 'umat', 'islam', 'di', 'palestina', 'dapat', 'kunjungan', 'dukungan', 'moral', 'dr', 'ormas', 'ini']","['ormas', 'anggap', 'umat', 'islam', 'ormas', 'islam', 'musuhnya', 'dunia', 'akhirat', 'jadikan', 'manusia', 'biadab', 'xioniz', 'sahabat', 'dunia', 'akhiratnya', 'buktinya', 'pengajian', 'umat', 'islam', 'dibubarkan', 'amp', 'pembantai', 'umat', 'islam', 'palestina', 'kunjungan', 'dukungan', 'moral', 'dr', 'ormas']","['orma', 'anggap', 'umat', 'islam', 'orma', 'islam', 'musuhnya', 'dunia', 'akhirat', 'jadikan', 'manusia', 'biadab', 'xioniz', 'sahabat', 'dunia', 'akhiratnya', 'buktinya', 'pengajian', 'umat', 'islam', 'dibubarkan', 'amp', 'pembantai', 'umat', 'islam', 'palestina', 'kunjungan', 'dukungan', 'moral', 'dr', 'orma']",orma anggap umat islam orma islam musuhnya dunia akhirat jadikan manusia biadab xioniz sahabat dunia akhiratnya buktinya pengajian umat islam dibubarkan amp pembantai umat islam palestina kunjungan dukungan moral dr orma
@denismalhotra Mreka kan kturunan yahudi pesek bang Islam ktp mreka itu Zionis israel biadab saja msih mreka dukung,Negatif, Mreka kan kturunan yahudi pesek bang Islam ktp mreka itu Zionis israel biadab saja msih mreka dukung, mreka kan kturunan yahudi pesek bang islam ktp mreka itu zionis israel biadab saja msih mreka dukung,"['mreka', 'kan', 'kturunan', 'yahudi', 'pesek', 'bang', 'islam', 'ktp', 'mreka', 'itu', 'zionis', 'israel', 'biadab', 'saja', 'msih', 'mreka', 'dukung']","['mreka', 'kturunan', 'yahudi', 'pesek', 'bang', 'islam', 'ktp', 'mreka', 'zionis', 'israel', 'biadab', 'msih', 'mreka', 'dukung']","['mreka', 'kturunan', 'yahudi', 'pesek', 'bang', 'islam', 'ktp', 'mreka', 'zioni', 'israel', 'biadab', 'msih', 'mreka', 'dukung']",mreka kturunan yahudi pesek bang islam ktp mreka zioni israel biadab msih mreka dukung
@bctnakal @_faktaindo ajaran islam memang biadab orang kemalangan malah menghujat.. rahmatan lilalamin banget,Negatif,  ajaran islam memang biadab orang kemalangan malah menghujat rahmatan lilalamin banget,  ajaran islam memang biadab orang kemalangan malah menghujat rahmatan lilalamin banget,"['ajaran', 'islam', 'memang', 'biadab', 'orang', 'kemalangan', 'malah', 'menghujat', 'rahmatan', 'lilalamin', 'banget']","['ajaran', 'islam', 'biadab', 'orang', 'kemalangan', 'menghujat', 'rahmatan', 'lilalamin', 'banget']","['ajaran', 'islam', 'biadab', 'orang', 'kemalangan', 'menghujat', 'rahmatan', 'lilalamin', 'banget']",ajaran islam biadab orang kemalangan menghujat rahmatan lilalamin banget
Tempat pengungsian aja mrk bom bener2 biadab israHELL ini &amp; knp PBB Uni Eropa OKI Liga Arab &amp; negara2 Islam membiarkan ada apa ini dgn dunia...?? https://t.co/2uB7AvLN78,Negatif,Tempat pengungsian aja mrk bom bener biadab israHELL ini amp knp PBB Uni Eropa OKI Liga Arab amp negara Islam membiarkan ada apa ini dgn dunia ,tempat pengungsian aja mrk bom bener biadab israhell ini amp knp pbb uni eropa oki liga arab amp negara islam membiarkan ada apa ini dgn dunia ,"['tempat', 'pengungsian', 'aja', 'mrk', 'bom', 'bener', 'biadab', 'israhell', 'ini', 'amp', 'knp', 'pbb', 'uni', 'eropa', 'oki', 'liga', 'arab', 'amp', 'negara', 'islam', 'membiarkan', 'ada', 'apa', 'ini', 'dgn', 'dunia']","['pengungsian', 'aja', 'mrk', 'bom', 'bener', 'biadab', 'israhell', 'amp', 'knp', 'pbb', 'uni', 'eropa', 'oki', 'liga', 'arab', 'amp', 'negara', 'islam', 'membiarkan', 'dgn', 'dunia']","['pengungsian', 'aja', 'mrk', 'bom', 'bener', 'biadab', 'israhel', 'amp', 'knp', 'pbb', 'uni', 'eropa', 'oki', 'liga', 'arab', 'amp', 'negara', 'islam', 'membiarkan', 'dgn', 'dunia']",pengungsian aja mrk bom bener biadab israhel amp knp pbb uni eropa oki liga arab amp negara islam membiarkan dgn dunia
Ya Allah Emang biadab zionis isriwil ini dan masih heran sama orang2 organisasi Islam kemaren kok bisa dengan bangganya foto bareng zionis?!?!,Negatif,Ya Allah Emang biadab zionis isriwil ini dan masih heran sama orang organisasi Islam kemaren kok bisa dengan bangganya foto bareng zionis,ya allah emang biadab zionis isriwil ini dan masih heran sama orang organisasi islam kemaren kok bisa dengan bangganya foto bareng zionis,"['ya', 'allah', 'emang', 'biadab', 'zionis', 'isriwil', 'ini', 'dan', 'masih', 'heran', 'sama', 'orang', 'organisasi', 'islam', 'kemaren', 'kok', 'bisa', 'dengan', 'bangganya', 'foto', 'bareng', 'zionis']","['ya', 'allah', 'emang', 'biadab', 'zionis', 'isriwil', 'heran', 'orang', 'organisasi', 'islam', 'kemaren', 'bangganya', 'foto', 'bareng', 'zionis']","['ya', 'allah', 'emang', 'biadab', 'zioni', 'isriwil', 'heran', 'orang', 'organisasi', 'islam', 'kemaren', 'bangganya', 'foto', 'bareng', 'zioni']",ya allah emang biadab zioni isriwil heran orang organisasi islam kemaren bangganya foto bareng zioni
@officialinews_ @ethadisaputra Lima mahluk biadab dan laknatullah yang tidak layak untuk memakai atribut ulama atau apapun tentang islam,Negatif,  Lima mahluk biadab dan laknatullah yang tidak layak untuk memakai atribut ulama atau apapun tentang islam,  lima mahluk biadab dan laknatullah yang tidak layak untuk memakai atribut ulama atau apapun tentang islam,"['lima', 'mahluk', 'biadab', 'dan', 'laknatullah', 'yang', 'tidak', 'layak', 'untuk', 'memakai', 'atribut', 'ulama', 'atau', 'apapun', 'tentang', 'islam']","['mahluk', 'biadab', 'laknatullah', 'layak', 'memakai', 'atribut', 'ulama', 'apapun', 'islam']","['mahluk', 'biadab', 'laknatullah', 'layak', 'memakai', 'atribut', 'ulama', 'apapun', 'islam']",mahluk biadab laknatullah layak memakai atribut ulama apapun islam
@AnKiiim_ Kecoa iblis syaitan Dajjal laknatulloh yang tidak punya malu dan urat malunya putus seperti kera yang kelaparan .. sungguh perilaku kalian semua biadab melukai hati nurani rakyat Indonesia dan Koum muslimin serta umat Islam di seluruh dunia termasuk rakyat Palestina Bangsat.!!,Negatif, Kecoa iblis syaitan Dajjal laknatulloh yang tidak punya malu dan urat malunya putus seperti kera yang kelaparan  sungguh perilaku kalian semua biadab melukai hati nurani rakyat Indonesia dan Koum muslimin serta umat Islam di seluruh dunia termasuk rakyat Palestina Bangsat, kecoa iblis syaitan dajjal laknatulloh yang tidak punya malu dan urat malunya putus seperti kera yang kelaparan  sungguh perilaku kalian semua biadab melukai hati nurani rakyat indonesia dan koum muslimin serta umat islam di seluruh dunia termasuk rakyat palestina bangsat,"['kecoa', 'iblis', 'syaitan', 'dajjal', 'laknatulloh', 'yang', 'tidak', 'punya', 'malu', 'dan', 'urat', 'malunya', 'putus', 'seperti', 'kera', 'yang', 'kelaparan', 'sungguh', 'perilaku', 'kalian', 'semua', 'biadab', 'melukai', 'hati', 'nurani', 'rakyat', 'indonesia', 'dan', 'koum', 'muslimin', 'serta', 'umat', 'islam', 'di', 'seluruh', 'dunia', 'termasuk', 'rakyat', 'palestina', 'bangsat']","['kecoa', 'iblis', 'syaitan', 'dajjal', 'laknatulloh', 'malu', 'urat', 'malunya', 'putus', 'kera', 'kelaparan', 'sungguh', 'perilaku', 'biadab', 'melukai', 'hati', 'nurani', 'rakyat', 'indonesia', 'koum', 'muslimin', 'umat', 'islam', 'dunia', 'rakyat', 'palestina', 'bangsat']","['kecoa', 'ibli', 'syaitan', 'dajjal', 'laknatulloh', 'malu', 'urat', 'malunya', 'putu', 'kera', 'kelaparan', 'sungguh', 'perilaku', 'biadab', 'melukai', 'hati', 'nurani', 'rakyat', 'indonesia', 'koum', 'muslimin', 'umat', 'islam', 'dunia', 'rakyat', 'palestina', 'bangsat']",kecoa ibli syaitan dajjal laknatulloh malu urat malunya putu kera kelaparan sungguh perilaku biadab melukai hati nurani rakyat indonesia koum muslimin umat islam dunia rakyat palestina bangsat
@julianas17426 Inilah monster para iblis syaitan Dajjal laknatulloh yang antek antek Yahudi zionis Israel yang telah membunuh dan membantai rakyat Palestina dan Koum muslimin serta umat Islam di negeri Palestina .. sungguh sangat biadab keji dan sadis melukai hati nurani Koum muslimin Palestina,Negatif, Inilah monster para iblis syaitan Dajjal laknatulloh yang antek antek Yahudi zionis Israel yang telah membunuh dan membantai rakyat Palestina dan Koum muslimin serta umat Islam di negeri Palestina  sungguh sangat biadab keji dan sadis melukai hati nurani Koum muslimin Palestina, inilah monster para iblis syaitan dajjal laknatulloh yang antek antek yahudi zionis israel yang telah membunuh dan membantai rakyat palestina dan koum muslimin serta umat islam di negeri palestina  sungguh sangat biadab keji dan sadis melukai hati nurani koum muslimin palestina,"['inilah', 'monster', 'para', 'iblis', 'syaitan', 'dajjal', 'laknatulloh', 'yang', 'antek', 'antek', 'yahudi', 'zionis', 'israel', 'yang', 'telah', 'membunuh', 'dan', 'membantai', 'rakyat', 'palestina', 'dan', 'koum', 'muslimin', 'serta', 'umat', 'islam', 'di', 'negeri', 'palestina', 'sungguh', 'sangat', 'biadab', 'keji', 'dan', 'sadis', 'melukai', 'hati', 'nurani', 'koum', 'muslimin', 'palestina']","['monster', 'iblis', 'syaitan', 'dajjal', 'laknatulloh', 'antek', 'antek', 'yahudi', 'zionis', 'israel', 'membunuh', 'membantai', 'rakyat', 'palestina', 'koum', 'muslimin', 'umat', 'islam', 'negeri', 'palestina', 'sungguh', 'biadab', 'keji', 'sadis', 'melukai', 'hati', 'nurani', 'koum', 'muslimin', 'palestina']","['monster', 'ibli', 'syaitan', 'dajjal', 'laknatulloh', 'antek', 'antek', 'yahudi', 'zioni', 'israel', 'membunuh', 'membantai', 'rakyat', 'palestina', 'koum', 'muslimin', 'umat', 'islam', 'negeri', 'palestina', 'sungguh', 'biadab', 'keji', 'sadi', 'melukai', 'hati', 'nurani', 'koum', 'muslimin', 'palestina']",monster ibli syaitan dajjal laknatulloh antek antek yahudi zioni israel membunuh membantai rakyat palestina koum muslimin umat islam negeri palestina sungguh biadab keji sadi melukai hati nurani koum muslimin palestina
