processed_text,kelas
adu data kasuskasu agama islam bro maaf ya pelecehan seksual korupsi suapmenyuap lgbt marak pesantren bulli rasi politik duhhh sedih banget semoga berbenah ya love,Negatif
orsng islam wara pindah agama karna merwka sadari agama islam karna ajarannya mengajarkan kekerasan radik orang islam preman,Negatif
kaum pengikut iblish syetan memprovokasi umat islam kalo kitab sucimu senggol tafsirkan detail teriak lompat pagar menghina kitab sucisebenarnya biadab daan ngele bedah kitab sucimu dgn al quran berani,Negatif
sourc faithfreedom dear oten radik bidadari gal tertuli quran karangan pembenc islam zaman aja misionari kristen yg bikin polemik tukang nyebarin fitnah islam surat al baqarah ayat orang kristen gak,Negatif
kelak menolak tambang batubara menolak islam nusantara menolak tambang batubara radik menolak tambang batubara intoleran menolak tambang batubara wahabi,Negatif
kupasng univ muhammdiyah terbesar mahasiswa mayorita beragama islam teriak teriak anti radik muhammdiyah bertoleransi bertolol ransi,Negatif
kalo gw baca komenan internet kafir diindo kebanyakan emang rasi islam,Negatif
hahaha gak menang adu argumen orang india negara kalah argumen hukum kekuasaan kerusuhan rasi thd pemeluk agama ulama islam diusir dicek ibadah islam kristen dirusak,Negatif
radik islam,Negatif
mamaku kerja rumah retret manag deket bgt mama almh nenek sayang udh ganti manag udh ga acara disana merekapun rasi islam samp solat ditiadakan pdhl butuh anj,Negatif
bener islam agama radik intoleran org ibadah langsung diserang,Negatif
giillaaa rasi bangettt ngata ngatain agama islam enaknya diapain ya sourc websit indosarang,Negatif
gaya bahasa islam radik kebun binatang,Negatif
mrk jg rasi pakaian klo islam keliatan gt cmn ga separah koreachina koreachina tuh mrk mukanya muka chinakorea udh lgsg disinisin wkwkwk,Negatif
orang bilang islam a radik islam b terori nih contoh rill radik terori islam sesat amp nyeleneh akidahnya bener dilakuin tingkat keimanan yg berlevellevel ceunah radik keakidahan mutlak yg gak masuk akal,Negatif
lo islam biadab komentar udah gt ngga pengetahuan terkait halal haram bau bangkai,Negatif
intinya sih jngn menimbulkan ekstrimi radik islam usaha pemerintah tajikistan mencegah keputusan pro amp kontra penduduknya muslim beresiko utk pemerintahannya akibat kl ga ya ga keputusan tsb,Negatif
hti fpi menyusul salafi yg dibidik n bersamasama menyerang orma islam yg dianggap ga diatur dituduh radik terencana,Negatif
perasaan gak bilang islam jahat dah wkwk gua cuman ngikutin argumen temen lu doang wkwk ya kalo samp ngebinasain orang mah udah masuk tingkat radik ya lu gaboleh nutup fakta kalo intoleran negeri,Negatif
rasi tolol lu pikir warga palestina yg genosida muslim kagak tolol nonmuslim jg korban gereja aja dibom pa perayaan natal kemarin aneh luuu israel gereja aja diludahin zioni elu bilang islam rasi darimana tolo,Negatif
disinisin kaum radik islam kaum yg terpedaya propaganda iran qatar hama,Negatif
demokrasi politik indon bnyk nyontoh as referensi orang ya as eksploitasi sara rasism as sarat presiden hr wap white anglosaxon protestan presiden hr pribumi jawa islam rasi,Negatif
pki athei mrk gak memprdulikan umat brgama aplgi mrk tdk brtuhan baca sejrah pki madiun thn mrk undang santri dn ulama utk makan diracun biadab pki sd skrg mrk ga suka agama pki jl anti islam brhati busuk jg pki brfikir dogma,Negatif
lucunya non islam penghujat islam marah perbuatan biadab muslim suriah diata dilain sisi mengejek allahnya umat islam yg dianggap kejam krn menyiksa hambanya yg berdosa neraka,Negatif
biadab bar bar nurani daerah suka ngasih sesajen pesugihan penganut islam wanipiro sadi muslim yg taat beragama berani,Positif
yahudi pesek tdk perduli perang gaza israel biadab cm meluapkan benci islam aja mendukung zioni biadab,Negatif
viral netizen korea selatan berkomentar rasi warga indonesia monyet pribumi agama islam,Negatif
klo siyapngga pake syarat macem chongeluuuh yg salah pake syarat macembiasa aj chongajaran islam ngga ad yg rasi,Negatif
komplokan kaum wahabi kaya bikin citra islam radik ilmu agama dikit belaga paham menjaga agama islampadah islam jaga allah subhanahu wa taala,Negatif
anti islam anti kristen anti budha anti hindu anti konghucu prinsip biadab yg ga berkembang negeri menjaga kerukunan ummat beragama negeri prinsip keyakinan tsb diata dimatikan kelompok jgn berkuasa negeri,Positif
